"x"
"1" "作者eyespot (追求內心的自在)看板Stock標題[公告] MF888 違反板規1-9-2 警告一次時間Sun Jul 22 00:02:21 2018
主旨：MF888 違反板規 1-9-2 警告一次

說明：經板主巡視看板，查MF888 發文內容，
      違反板規1-9-2，依板規處砍文處份，
      並警告一次，下次違反板規將予以水桶一週

1-9-2.有關研究生問卷調查之文，
      1.  請先站內信經板主之一認可後才可發文。
      2.  內文需說明認可板主、研究者姓名、指導教授與研究單位。
推 cmcmisgod: 跟著哲哲動次動 07/22 01:57
→ rockon15: 本周被動即將強彈 老師特別開放解套99方案 07/22 02:03
→ rockon15: 如果套著也別灰心 老師貼心推出持股健診 07/22 02:03
→ rockon15: 長線看好 抱著就好 07/22 02:04
推 miha80425: 挑戰頸線各種平台點面  搶反彈還是吃屎 07/22 02:05
→ miha80425: 你們真的想清楚 做對才能大賺 07/22 02:06
→ qqpp33: 上週戰績跌15%，所以這週該信他嗎！ 07/22 02:08
推 gn7722: 這招叫做孤注一擲，不成功，便成仁 07/22 02:24
推 tatsuo769: ....虛擬資產All in有差嗎？？乾脆說壓100E美金 07/22 02:35
→ tatsuo769: 還是要去唱他的被動Rap? 07/22 02:36
→ tatsuo769: 彈起來是給你逃命的... 不要再追了 07/22 02:36
推 Dxperado: 陳立委選的比較有邏輯一點光學蘋概，哲哲看來這波拼了 07/22 02:39
→ GSWA: 一個只敢用嘴巴玩線上遊戲的居然這麼多人關心 07/22 04:15
推 zivtarget: 第一名的分析師，[email<U+00A0>protected]粉絲最多，演講人數大爆滿-這海 07/22 04:35
→ zivtarget: 口先推再說。 07/22 04:35
推 aowen: 原來只是個傻多仔 07/22 05:43
推 akane5499: 歐印被動 有狂 07/22 05:58
推 pandp: 你可以說all in無差，因為那是虛擬單，但也可以說有差，因 07/22 06:47
→ pandp: 為準不準關係他未來後續的利益 07/22 06:47
推 turnpoint: 畢竟他的粉絲有不少是衝著模擬比賽第一來的 07/22 06:52
推 tkhunter: 不是天堂，就是靈堂 07/22 07:03
推 Bv999: 想炒底吼，下週空爆被動元件 07/22 07:05
推 dspswen: 這壓法真直接 猛 天堂地獄 07/22 07:38
推 Relix: 原來  他就是 哲哲 07/22 07:49
推 s860134: 折折 07/22 07:59
推 NSKB: 歐印！ 07/22 08:01
推 house911: 虛擬戶頭鴨好鴨滿鴨身家  輸光再開一個虛擬 07/22 08:21
推 bluesky2: 被動第一波衝高回殺 這時候低接的確是正確 可是現在已經 07/22 08:37
推 honey4617912: 哲哲怎麼不選台gg 外豬回頭大買欸 07/22 08:37
→ bluesky2: 第二波衝高 嘎完空單 再回殺 然後破線 這時候期待反彈 07/22 08:38
→ bluesky2: 就是跟融資同步動作 越攤越平 07/22 08:38
→ bluesky2: 接下來應該就是沿路盤跌 反彈 再破底的套牢節奏 07/22 08:39
→ bluesky2: 哲哲重壓被動類股 終究是翻不了身 07/22 08:40
→ bluesky2: 看來哲哲又要重蹈撼訊的老路 07/22 08:42
推 loveapeikeke: 窩耖  真的歐印下去了 07/22 09:02
推 sandwich1028: 老師果然不是神 07/22 09:06
推 Hall: 缺料真的好賺應該去買TDK Samsung electro 07/22 09:11
推 Omg2222: 他又不是真金白銀的買，當然押的很輕鬆啊 07/22 09:13
推 Relix: 這個比賽網址在哪？有人知道嗎？ 07/22 09:13
→ WowProctor: 這被動會把他拉下神壇嗎？ 07/22 09:19
推 aailoveu: 樓上有說要放空的 希望下禮拜能貼對帳單 07/22 09:19
噓 ESunBoy: 股市大富翁我壓100E在被動，每天睡飽躺著數錢 07/22 09:21
推 m3388: 拜一就知道了  多空軍 傻傻等 07/22 09:25
→ fabienryan: 我的賓利和CX-5 ，等著郭哲榮來當司機囉 07/22 09:32
推 mypower: 看他盤後影音說華新科3X13X10..我就知道。。。完了 07/22 09:32
推 NSKB: 算本益比…天才 07/22 09:33
→ jorway666: 哲哲真的不信邪 07/22 09:40
噓 ESunBoy: 哲哲是第一名分析師，Line粉絲演講人數通通第一，你敢嘴? 07/22 09:42
噓 manpower1216: 看到大陸停工缺貨 簡單邏輯 07/22 09:44
推 abs135790: 別鬧了、壓真錢在叫我、虛擬壓到滿會痛嗎 07/22 09:59
噓 killer1: 哲哲的工作人員快出現護航 動起來 07/22 10:01
→ rayterzll: 我覺得應該還有二天要跌 然後週三以後才有可能彈 07/22 10:02
噓 killer1: 哲哲刪留言 又要封鎖網友 哈哈哈哈 07/22 10:07
→ killer1: 說網友的言論會造成其他人恐慌 07/22 10:07
推 cywec: 耶續空 07/22 10:19
推 geo0222: 沒在報紙推被動怎麼幫自己會員出場 07/22 10:23
推 transcend789: 拼紙上績效當然先選最飆的啊...... 07/22 10:24
→ transcend789: 這次下殺應該有大戶被套惹 多少會拉一波吧？ 07/22 10:25
推 ymca0135: 1500集還是有他的實力在，歐印被動，下週見真章了！ 07/22 10:46
推 Kmer: 這波空軍再往下殺一點 融資就要斷頭了 也沒過BBand只能下去 07/22 11:15
→ Kmer: 探親了 07/22 11:15
推 fanfantu2016: 虛擬資產XDDD 07/22 11:37
推 Coolno9: 康普和穩懋也是持續看好 節目卻隻字未提 每天被動被動 07/22 12:15
→ Coolno9:  動不膩逆 07/22 12:15
推 yan08572002: 哲哲跟本就是騙收會員費的神棍阿 07/22 12:19
→ yan08572002: 這兩個月他會員推薦的立隆電，大毅，上銀跌了好幾根 07/22 12:20
→ yan08572002: 別再傻傻被騙了，大家 07/22 12:20
噓 SuperMoist: 鄉民笑死人 跟著賺的時候捧的根什麼一樣，現在跌酸的 07/22 12:39
→ SuperMoist: 跟什麼一樣 07/22 12:39
推 kevin10449: 樓上崩潰 哈哈 07/22 12:53
→ wingboys: 這樣選只是想賭跌深反彈而已吧 07/22 13:07
推 Bv999: 是在賭明天會大反彈沒錯啊...萬一沒反彈就屎定咯 07/22 13:20
→ AGODC: 哲哲當初我朋友就聽信買康爸135，當時我看情勢不好一直叫他 07/22 14:12
→ AGODC: 砍，賠幾千不跑，現在賠幾萬了，慘 07/22 14:12
推 win1109: 應該在被動也套不少了，國巨下周可望見到750，至於能不 07/22 14:38
→ win1109: 能接還是要看有沒有止跌訊號 07/22 14:38
噓 zzziii: 虛擬資產... 07/22 15:10
噓 fridliou: 哲哲快幫我拉大毅 你是虛擬資產 我是聽你的投家產了 07/22 15:11
推 OJJCK: 真假投家產？？我還投名狀勒～～ 07/22 15:38
推 Spinner3: 狂押被動就對了 07/22 16:30
推 jasonsby: 哈哈哈 繼續看好戲 07/22 18:17
推 sungtau: 經過了週末的沉澱，加上消息面利空出盡，未看先猜下週一 07/22 19:40
→ sungtau: 起彈，將於開盤前現價買入。 07/22 19:40
推 NSKB: 大毅都快腰斬了，真是太大意了，被動最弱就這檔 07/22 20:58
→ sam352306: 噴 07/23 02:31
"
"14" NA
"15" NA
"16" "作者roxiang (請叫我微星哥)看板Stock標題[新聞] 挖礦降溫 微星全力衝刺電競市場時間Sun Jul 22 03:25:54 2018

1.原文連結：
https://udn.com/news/story/7253/3263341


2.原文內容：

    看新聞前，記得先開圖
https://imgur.com/quMx7Zc.jpg

搶攻暑期旺季，微星（2377）近期火力全開，全力衝刺電競市場，先後在台北多媒體展、
六都爭霸戰賽事及龍魂快閃店，推出電競專屬優惠，為本季營運添柴火。

微星今年戰略轉向，從以往主打高階NB市場，今年除了積極擴展電競周邊產品外，企圖打
造自家電競生態圈，並也將推出戰鬥機款，正面迎戰各大PC廠搶攻電競NB市場。

微星近期由於加密貨幣「挖礦」市場降溫，導致顯卡需求減弱，下半年營運主戰場重回電
競，預期第3季將為全年營運高峰，整體來看，微星電競NB將穩健成長，電競桌機自有品
牌則有較大進展，預期今年出貨量至少會有30~50%年成長。

電競產業進入第3季傳統旺季，微星積極衝刺市場，從主力電競NB擴展到周邊商品，近期
在台陸續針對展場、電競賽事及熱門3C商業區，展開一系列促銷優惠。

《2018六都電競爭霸戰》上周開打，微星成為指定官方合作夥伴。微星宣布，賽事指定主
機，搭載AMD RYZEN 7 2700X CPU、MSI X470 GAMING PLUS主機板、MSI Geforce GTX
1060 GAMING VR X 6G顯示卡等配件，祭出現場優惠價。

隨著賽事轉移到台南，第二場次將於周六在台南登場，微星將在會場除祭出重量級電競組
裝機套餐優惠外，針對電競周邊更規劃出破盤優惠活動。

除了針對電競賽事祭出專案優惠，微星也在展場、熱門商圈展開促銷。微星7月初參展
2018台北多媒體大展，針對全新第八代電競桌機、曲面電競顯示器、電競周邊推出促銷活
動。

微星並於上周末配合暑假檔期及光華商場周年慶，微星龍魂快閃體驗店強勢回歸，於光華
數位新天地展出，提供最新電競筆電、主機、螢幕、鍵盤、滑鼠等搶先體驗。


3.心得/評論：

大家都豬到我要你們看什麼，好康大家享
2377小星星  6月營收不佳，7月全力衝刺電競
小小國巨 小小宏碁
暑假到了  電競概念股  玩遊戲買卡正是時候
妹好可愛 低調。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 182.235.148.216
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532201159.A.7CC.html
※ 編輯: roxiang (182.235.148.216), 07/22/2018 03:29:51
推 cmcmisgod: 你要說暑假過半開學概念股搶先佈局學生們開始跟家長討 07/22 03:37
→ cmcmisgod: 電競筆電、主機、螢幕、鍵盤、滑鼠、耳機來做報告 07/22 03:37
推 badbadook:    好屌 07/22 05:32
→ transcend789: 有促銷嗎？ 07/22 05:40
→ house911: 顯卡題材炒完開始換炒電競題材? 07/22 08:24
推 s9414h: 顯卡先降價再來說拼電競啦，貴的跟三小一樣 07/22 08:36
推 solomonABC: 台船 07/22 08:52
推 Hank31015: 等等小小宏碁 07/22 10:23
推 Ceferino: 騙人上車的,電競廠商這麼多,微星沒前幾年那種氣勢了 07/22 11:47
噓 winner0429: 1080Ti 19999收 07/22 12:45
→ lsisbl: 挖礦要10張顯卡 學生打game要用到10張顯卡？  顯卡炒完了 07/22 13:30
→ lsisbl:  今年GG了 07/22 13:30
→ simo520: 微星哥的成本107會不會被主力盯上了 07/23 06:59
"
"17" NA
"18" NA
"19" "作者cat886688 (cat886688)看板Stock標題[新聞] 北京瞭望／台灣人在陸開戶大不易時間Sun Jul 22 07:04:36 2018
北京瞭望／台灣人在陸開戶大不易

2018-07-22 02:15聯合報 本報記者許依晨

經濟日報

中國大陸電子支付相當盛行，應用層面廣泛，只要一機在手，完全不用帶錢包出門。但想
體驗電子支付便捷的功能，首先得先辦個大陸手機門號，之後向大陸銀行開戶存錢，綁定
手機號，就可以行動支付。然而，現在卻出現不少台灣人想開戶卻「卡關」的現象。

早期在大陸開戶很容易，然而，近年來大陸金融詐騙案以及人頭戶等問題愈來愈多，去年
開始銀行新制上路，大陸各家銀行對開戶的管制及審核也愈趨嚴格。

一名在北京工作多年的台幹表示，早年只需要帶上台胞證到銀行即可辦理開戶，甚至「想
辦幾家就辦幾家」，但從去年開始，台灣人若想在大陸銀行開戶，已愈來愈難。

今年初從台灣外派至北京的何小姐即深刻體會「大陸開戶大不易」，她跑了第六家銀行才
成功開戶。何小姐說，一抵達北京後，她隨即按照前輩交代，手機門號到手後，便到銀行
開戶存錢，未料她去了招商銀行、中國銀行、廣發銀行、興業銀行等六家銀行皆碰壁，「
被一整條街上的銀行給拒絕了一輪，而且每一家都有不同的遊戲規則」。

除了必備的大陸手機門號以及台胞證外，各家銀行進一步要求盧小姐還需提供「居住證」
、「暫住證」、「工作證」、「就業證」、「勞動合同」等各式各樣的證明，甚至，某一
家銀行還稱，工作證明必須由設在北京的公司所開立才能被承認。

她只好一家再問過一家，進入第六家銀行大門時，何小姐已經抱持半放棄的心態，沒想到
這家銀行卻未多問任何一句話，讓她只憑台胞證就成功開戶並存錢，一個上午的「銀行巡
禮」才結束。

現在，正好碰上大陸各地陸續推出惠台措施，有台商即向涉台工作人員「打趣」建議，不
如惠台措施中再加一條便利台胞開戶吧。

在大陸若無法使用電子支付，出行真的非常不方便，銀行開戶困難的問題已被涉台人員注
意，有官員稱這是值得研究的現象。

大陸一線城市銀行開戶變困難，有網友傳授撇步，可轉往二、三線城市等台灣人較少的城
市銀行辦理。但也有人說其實都是看行員的心情，還有網友直言，近年台灣詐騙集團多，
許多人頭戶洗錢，紀錄不佳，是自己把自己信用給搞砸了。

https://money.udn.com/money/story/5603/3265803

朋友打算到中國大陸開戶買股票及基金
看到這則新聞
還建議去開戶嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 45.33.3.157
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532214278.A.BA0.html
推 meowyih: 先問想買的標的是啥,再問真的有需要在中國開戶才能買嗎? 07/22 07:21
→ johnny9667: 去中國接刀嗎? 07/22 07:22
噓 Fujiwarano: 開戶困難 賺了錢要匯出來更難 07/22 07:44
→ tsuneo: 當年還希望大家去接盤A股..結果自設障礙..嗯 07/22 07:56
推 bazi4200: 支付寶 微信 開戶 就這目的 07/22 08:17
推 ndd2: 還有傻子嗎？ 07/22 08:27
推 cs2260cs: app無國界，我需要張銀聯卡 07/22 08:33
噓 hillgill: 同意，從大陸匯錢出來真的超難 07/22 08:51
→ patrol: 人!可以進賭場玩, 錢!不<U+51D6>帶出賭場, 這樣還敢去的是北七. 07/22 08:59
噓 ted01234567: 碰壁的銀行都有名字 可以辦的卻沒有...這樣我們以後 07/22 09:06
→ ted01234567: 是要去哪家辦 0分 07/22 09:06
推 sa374724: 如果便利是福音啊 07/22 09:31
→ eemail: 只有一成銀行可以 只許一成              記者許依晨報導 07/22 09:34
推 mypower: 我好像是前年去開戶的，蠻簡單的，台胞證大陸門號帶著就 07/22 09:46
→ mypower: 搞定了，居住地址寫飯店 07/22 09:46
推 gn00295120: 兩年前去辦工行的 大概半小時 只是為了用淘寶 07/22 09:53
噓 amaranth5566: 買個盤子 07/22 09:56
噓 yfguk6685: 潘仔正好迎貶運動 07/22 10:21
噓 iele: 開個屁戶，現在只給自然人開借記卡，不會給開存戶，最基本 07/22 10:24
→ iele: 的都錯，難怪銀行不給開 07/22 10:24
→ iele: 還有，這個不是只針對台灣人，現在本地居民要開卡也是會被 07/22 10:26
→ iele: 要求提供各種必要的文件 07/22 10:26
推 tigerliao: 實務上外匯限額只是參考，很多時候限額內想匯出還是會 07/22 10:33
→ tigerliao: 被擋，搞的陸資都想逃離大陸，還有人想進去？ 07/22 10:33
噓 mistel: 就我所知有1/4的外資都想撤出，垃圾管制都恐怖了 07/22 10:51
→ Robben: 大概只有某些臺灣人搶著進去 07/22 11:50
推 PeikangShin: 開始慢慢佈局上證正2就好，幾年後見真章～ 07/22 13:01
推 einard6666: 今年3月在上海開，只去一家，30分鐘內搞定全部流程啊 07/22 13:05
→ vanadiu: 不好意思 台灣人都去那邊 開苞 07/22 13:20
推 jason91818: Ei大大 可以分享哪一家嗎？ 感謝 07/22 13:36
推 pz5202: 哈哈哈 逃都來不及了 07/22 13:45
噓 Souseasou3: 二三線連台胞證都沒看過是開什麼戶 07/22 13:47
推 tigerliao: 要買陸股有其他種管道，功課要做一下就知道 07/22 13:56
噓 ast2: 傻B才買中國股票 一堆造假 美股都買不完了 07/22 14:55
噓 WTF55665566: 台灣人沒事也不會想去沒自由的地方開戶 07/22 15:52
→ WTF55665566: 不然為啥要推滬港通 啊不就香港就能交易誰會沒事跑去 07/22 15:52
→ WTF55665566: 封鎖地帶 07/22 15:52
推 AaronWang: 老實說這可正常是之前不正常 07/22 18:43
→ walter41: 說匯出來超難的是有幾千萬要匯？ 07/22 23:42
→ wr: 匯出來確實很困難 五萬就要申報了 07/23 08:35
推 einard6666: 我在上海閔行的工商銀行開的 快下班前進去的 07/23 12:06
→ einard6666: 說是附近一間台商公司的員工就好 07/23 12:06
→ einard6666: 其他文件都沒有要求 (台胞證,手機 一定要啦) 07/23 12:07
"
"20" NA
"21" NA
